# Greetings and introductions | A1 | A friendly adult arriving at a casual neighborhood meetup in India.
Say Your Name|मेरा नाम आशा है।|तुम्हारा नाम क्या है?
Nice to Meet You|तुमसे मिलकर अच्छा लगा।|तुम कैसी हो?
Say How You Feel|मैं ठीक हूँ।|आज मैं खुश हूँ।
Where You Come From|मैं बांग्लादेश से हूँ।|तुम कहाँ से हो?
Where You Live|मैं दिल्ली में रहती हूँ।|तुम कहाँ रहते हो?
Tell Your Age|मेरी उम्र तीस साल है।|तुम्हारी उम्र क्या है?
Meet a New Neighbor|मैं यहाँ नई हूँ।|मैं पड़ोस में रहती हूँ।
Use Polite Introductions|आपका नाम क्या है?|मेरा नाम करीम है।
Introduce a Friend|यह मेरा दोस्त है।|उसका नाम राहुल है।
Say Goodbye|अब मुझे जाना है।|कल फिर मिलेंगे।
# Learning Hindi | A1 | An adult learner practicing Hindi at a quiet desk with a notebook.
Say You Are Learning|मैं हिंदी सीख रही हूँ।|मैं थोड़ी हिंदी बोलती हूँ।
Ask for Repetition|मुझे यह समझ नहीं आया।|क्या आप फिर से कहेंगे?
Ask Someone to Slow Down|कृपया धीरे बोलिए।|मैं सब समझना चाहती हूँ।
Ask What a Word Means|इस शब्द का मतलब क्या है?|क्या आप एक उदाहरण देंगे?
Ask How to Say It|इसे हिंदी में क्या कहते हैं?|कृपया इसे लिख दीजिए।
Ask About Spelling|आपका नाम कैसे लिखते हैं?|क्या आप इसके अक्षर बताएँगे?
Check Your Pronunciation|क्या मैं सही बोल रही हूँ?|कृपया मेरी मदद कीजिए।
Ask About Languages|क्या आप अंग्रेज़ी बोलते हैं?|मेरी मातृभाषा बांग्ला है।
Learn a Little Every Day|मैं रोज़ अभ्यास करती हूँ।|आज मैं नए शब्द सीख रही हूँ।
Ask One More Question|मेरा एक सवाल है।|क्या आप मुझे यह समझाएँगे?
# Family and friends | A1 | An adult introducing family and friends at a relaxed home gathering.
Introduce Your Family|यह मेरा परिवार है।|हम साथ रहते हैं।
Talk About Your Mother|मेरी माँ का नाम मीरा है।|वह अस्पताल में काम करती हैं।
Talk About Your Father|मेरे पिता शिक्षक हैं।|उन्हें पढ़ना बहुत पसंद है।
Talk About Siblings|मेरी एक बहन है।|वह मुझसे छोटी है।
Describe Your Brother|मेरा भाई मुंबई में रहता है।|वह वहाँ विश्वविद्यालय में पढ़ता है।
Talk About Children|हमारे दो बच्चे हैं।|वे स्कूल जाते हैं।
Say You Are Married|मैं शादीशुदा हूँ।|मेरे पति आज काम कर रहे हैं।
Talk About Your Partner|मेरे पति हिंदी बोलते हैं।|हम साथ सीखते हैं।
Introduce Your Best Friend|मेरी सबसे अच्छी सहेली सारा है।|हम अक्सर मिलते हैं।
Visit Your Grandparents|मेरे दादा-दादी गाँव में रहते हैं।|मैं रविवार को उनसे मिलने जाती हूँ।
# Home and everyday objects | A1 | An adult showing everyday objects inside a modest Hindi apartment.
Describe Your Apartment|मेरा घर छोटा है।|इसमें दो कमरे हैं।
Show Your Kitchen|यह रसोई है।|मैं यहाँ रोज़ खाना बनाती हूँ।
Show Your Bedroom|मेरा बिस्तर खिड़की के पास है।|मैं यहाँ सोती हूँ।
Find Your Keys|मेरी चाबी कहाँ है?|वह मेज़ पर है।
Find Your Phone|मैं अपना फ़ोन ढूँढ़ रही हूँ।|वह मेरे बैग में है।
Open the Window|कृपया खिड़की खोल दो।|यहाँ गर्मी है।
Close the Door|कृपया दरवाज़ा बंद कर दो।|बाहर ठंड है।
Switch On the Light|क्या तुम बत्ती जला दोगे?|मैं पढ़ना चाहती हूँ।
Offer Someone a Seat|यह कुर्सी खाली है।|तुम बैठ सकते हो।
Find the Bathroom|बाथरूम कहाँ है?|वह बाईं ओर है।
# Morning and evening routines | A1 | An adult demonstrating a simple daily routine at home.
Wake Up in Hindi|मैं सात बजे उठती हूँ।|फिर मैं नहाती हूँ।
Get Ready for the Day|मैं अपने दाँत साफ़ करती हूँ।|उसके बाद कपड़े पहनती हूँ।
Eat Breakfast|मैं घर पर नाश्ता करती हूँ।|मैं पनीर के साथ रोटी खाती हूँ।
Leave for Work|मैं अब काम पर जा रही हूँ।|मैं बस से जाती हूँ।
Start the Working Day|मेरा काम नौ बजे शुरू होता है।|मैं समय पर पहुँचती हूँ।
Take a Lunch Break|अब मैं थोड़ा आराम कर रही हूँ।|मैं कुछ खाती हूँ।
Come Home|मैं छह बजे घर आती हूँ।|फिर रात का खाना बनाती हूँ।
Relax in the Evening|शाम को मैं गाने सुनती हूँ।|कभी-कभी टीवी देखती हूँ।
Get Ready for Bed|मैं थकी हुई हूँ।|मैं अब सोने जा रही हूँ।
Talk About Sleep|मैं आठ घंटे सोती हूँ।|सुबह फिर तरोताज़ा महसूस करती हूँ।
# Food and drinks | A1 | An adult preparing and choosing everyday food in a home kitchen.
