# প্রতি ভিডিও: বাংলা শিরোনাম | জার্মান বাক্য ১ | বাংলা অর্থ ১ | বাংলা উচ্চারণ ১ | জার্মান বাক্য ২ | বাংলা অর্থ ২ | বাংলা উচ্চারণ ২
# এটি লেখকের ভাষা সহায়িকা। ভিডিওতে কোনো ক্যাপশন বা লেখা দেখানো হবে না।
নিজের নাম বলুন|Ich heiße Anna.|আমার নাম আনা।|ইখ হাইসে আনা।|Wie heißt du?|তোমার নাম কী?|ভি হাইস্ট ডু?
প্রথম পরিচয়ে কথা বলুন|Es freut mich, dich kennenzulernen.|তোমার সঙ্গে পরিচিত হয়ে ভালো লাগছে।|এস ফ্রয়ট মিখ, ডিখ কেনেনৎসুলের্নেন।|Wie geht es dir?|তুমি কেমন আছ?|ভি গেট এস ডিয়া?
কেমন আছেন বলুন|Mir geht es gut.|আমি ভালো আছি।|মিয়া গেট এস গুট।|Ich bin heute glücklich.|আজ আমি খুশি।|ইখ বিন হয়টে গ্ল্যুকলিখ।
কোন দেশ থেকে এসেছেন|Ich komme aus Bangladesch.|আমি বাংলাদেশ থেকে এসেছি।|ইখ কোমে আউস বাংগলাদেশ।|Woher kommst du?|তুমি কোথা থেকে এসেছ?|ভোহেয়া কোমস্ট ডু?
কোথায় থাকেন বলুন|Ich wohne in Berlin.|আমি বার্লিনে থাকি।|ইখ ভোনে ইন বের্লিন।|Wo wohnst du?|তুমি কোথায় থাকো?|ভো ভোনস্ট ডু?
বয়স বলুন|Ich bin dreißig Jahre alt.|আমার বয়স ত্রিশ বছর।|ইখ বিন ড্রাইসিখ ইয়ারে আল্ট।|Wie alt bist du?|তোমার বয়স কত?|ভি আল্ট বিস্ট ডু?
নতুন প্রতিবেশীর সঙ্গে পরিচয়|Ich bin neu hier.|আমি এখানে নতুন।|ইখ বিন নয় হিয়া।|Ich wohne nebenan.|আমি পাশেই থাকি।|ইখ ভোনে নেবেনআন।
ভদ্রভাবে পরিচয় দিন|Wie heißen Sie?|আপনার নাম কী?|ভি হাইসেন জি?|Mein Name ist Karim.|আমার নাম করিম।|মাইন নামে ইস্ট কারিম।
বন্ধুর পরিচয় দিন|Das ist mein Freund.|এ আমার বন্ধু।|ডাস ইস্ট মাইন ফ্রয়ন্ট।|Er heißt Lukas.|তার নাম লুকাস।|এয়া হাইস্ট লুকাস।
বিদায় নিতে বলুন|Ich muss jetzt gehen.|আমাকে এখন যেতে হবে।|ইখ মুস ইয়েট্স্ট গেয়েন।|Wir sehen uns morgen.|কাল আবার দেখা হবে।|ভিয়া জেয়েন উন্স মর্গেন।
বলুন আপনি জার্মান শিখছেন|Ich lerne Deutsch.|আমি জার্মান শিখছি।|ইখ লের্নে ডয়চ।|Ich spreche ein bisschen Deutsch.|আমি অল্প জার্মান বলতে পারি।|ইখ শ্প্রেখে আইন বিস্খেন ডয়চ।
