# প্রতি ভিডিও: বাংলা শিরোনাম | হিন্দি বাক্য ১ | বাংলা অর্থ ১ | বাংলা উচ্চারণ ১ | হিন্দি বাক্য ২ | বাংলা অর্থ ২ | বাংলা উচ্চারণ ২
# ক্যাপশনে মূল হিন্দি, বাংলা উচ্চারণ ও বাংলা অর্থ একসঙ্গে থাকবে। উপস্থাপক প্রতিটি হিন্দি বাক্যের পর তার বাংলা অর্থ বলবেন।
নিজের নাম বলুন|मेरा नाम आशा है।|আমার নাম আশা।|মেরা নাম আশা হ্যায়।|तुम्हारा नाम क्या है?|তোমার নাম কী?|তুমহারা নাম ক্যা হ্যায়?
প্রথম পরিচয়ে কথা বলুন|तुमसे मिलकर अच्छा लगा।|তোমার সঙ্গে পরিচিত হয়ে ভালো লাগছে।|তুমসে মিলকর অচ্ছা লগা।|तुम कैसी हो?|তুমি কেমন আছ?|তুম ক্যায়সি হো?
কেমন আছেন বলুন|मैं ठीक हूँ।|আমি ভালো আছি।|ম্যাঁ ঠীক হুঁ।|आज मैं खुश हूँ।|আজ আমি খুশি।|আজ ম্যাঁ খুশ হুঁ।
কোন দেশ থেকে এসেছেন|मैं बांग्लादेश से हूँ।|আমি বাংলাদেশ থেকে এসেছি।|ম্যাঁ বাংগলাদেশ সে হুঁ।|तुम कहाँ से हो?|তুমি কোথা থেকে এসেছ?|তুম কহাঁ সে হো?
কোথায় থাকেন বলুন|मैं दिल्ली में रहती हूँ।|আমি দিল্লিে থাকি।|ম্যাঁ দিল্লী মেঁ রহতী হুঁ।|तुम कहाँ रहते हो?|তুমি কোথায় থাকো?|তুম কহাঁ রহতে হো?
বয়স বলুন|मेरी उम्र तीस साल है।|আমার বয়স ত্রিশ বছর।|মেরী উম্র তীস সাল হ্যায়।|तुम्हारी उम्र क्या है?|তোমার বয়স কত?|তুমহারী উম্র ক্যা হ্যায়?
নতুন প্রতিবেশীর সঙ্গে পরিচয়|मैं यहाँ नई हूँ।|আমি এখানে নতুন।|ম্যাঁ ইয়হাঁ নঈ হুঁ।|मैं पड़ोस में रहती हूँ।|আমি পাশেই থাকি।|ম্যাঁ পড়োস মেঁ রহতী হুঁ।
ভদ্রভাবে পরিচয় দিন|आपका नाम क्या है?|আপনার নাম কী?|আপকা নাম ক্যা হ্যায়?|मेरा नाम करीम है।|আমার নাম করিম।|মেরা নাম করীম হ্যায়।
বন্ধুর পরিচয় দিন|यह मेरा दोस्त है।|এ আমার বন্ধু।|ইয়হ মেরা দোস্ত হ্যায়।|उसका नाम राहुल है।|তার নাম রাহুল।|উসকা নাম রাহুল হ্যায়।
বিদায় নিতে বলুন|अब मुझे जाना है।|আমাকে এখন যেতে হবে।|অব মুঝে জানা হ্যায়।|कल फिर मिलेंगे।|কাল আবার দেখা হবে।|কল ফির মিলেঙ্গে।
বলুন আপনি হিন্দি শিখছেন|मैं हिंदी सीख रही हूँ।|আমি হিন্দি শিখছি।|ম্যাঁ হিন্দী সীখ রহী হুঁ।|मैं थोड़ी हिंदी बोलती हूँ।|আমি অল্প হিন্দি বলতে পারি।|ম্যাঁ থোড়ী হিন্দী বোলতী হুঁ।
না বুঝলে আবার বলতে বলুন|मुझे यह समझ नहीं आया।|আমি এটা বুঝিনি।|মুঝে ইয়হ সমঝ নহীঁ আয়া।|क्या आप फिर से कहेंगे?|আপনি কি আবার বলবেন?|ক্যা আপ ফির সে কহেঙ্গে?
ধীরে বলতে বলুন|कृपया धीरे बोलिए।|দয়া করে ধীরে বলুন।|কৃপয়া ধীরে বোলিয়ে।|मैं सब समझना चाहती हूँ।|আমি সব বুঝতে চাই।|ম্যাঁ সব সমঝনা চাহতী হুঁ।
শব্দের অর্থ জিজ্ঞেস করুন|इस शब्द का मतलब क्या है?|এই শব্দের অর্থ কী?|ইস শব্‌দ কা মতলব ক্যা হ্যায়?|क्या आप एक उदाहरण देंगे?|একটা উদাহরণ দিতে পারবেন?|ক্যা আপ এক উদাহরণ দেঙ্গে?
হিন্দিে কীভাবে বলে|इसे हिंदी में क्या कहते हैं?|এটা হিন্দিে কীভাবে বলে?|ইসে হিন্দী মেঁ ক্যা কহতে হ্যাঁয়?|कृपया इसे लिख दीजिए।|দয়া করে লিখে দিন।|কৃপয়া ইসে লিখ দীজিয়ে।
নামের বানান জিজ্ঞেস করুন|आपका नाम कैसे लिखते हैं?|আপনার নাম কীভাবে লেখে?|আপকা নাম ক্যায়সে লিখতে হ্যাঁয়?|क्या आप इसके अक्षर बताएँगे?|বানান করে বলবেন?|ক্যা আপ ইসকে অক্‌শর বতাএঁগে?
